"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr","pred"
"1","0",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1642,47,13748,8,1,94.9555881375416
"2","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,33,13749,8,1,51.738691773825
"3","2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,13,13750,8,1,37.9789932859922
"4","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,7,13751,8,1,17.5842802882684
"5","4",FALSE,TRUE,"Misty",0.64,0.5909,0.78,0.1343,4,13752,8,1,9.36285378896583
"6","5",FALSE,TRUE,"Misty",0.64,0.5909,0.78,0.1343,49,13753,8,1,33.203824583981
"7","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0.1343,185,13754,8,1,122.689432949863
"8","7",FALSE,TRUE,"Misty",0.64,0.5758,0.83,0.1343,487,13755,8,1,307.914533216432
"9","8",FALSE,TRUE,"Misty",0.66,0.6061,0.78,0.194,681,13756,8,1,493.554759198021
"10","9",FALSE,TRUE,"Misty",0.68,0.6364,0.74,0.0896,350,13757,8,1,309.669217019969
"11","10",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.0896,236,13758,8,1,272.400027660057
"12","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.0896,234,13759,8,1,305.463819003255
"13","12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1045,284,13760,8,1,360.477882149391
"14","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.1642,280,13761,8,1,349.147727623379
"15","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,263,13762,8,1,340.781728762819
"16","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1642,295,13763,8,1,348.684631422056
"17","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2836,479,13764,8,1,449.149215023095
"18","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.1642,837,13765,8,1,701.587181819918
"19","18",FALSE,TRUE,"Light Precipitation",0.76,0.7121,0.62,0.2239,891,13766,8,1,520.555371508988
"20","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,652,13767,8,1,517.648227135593
"21","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,513,13768,8,1,403.613646927295
"22","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,320,13769,8,1,308.069431944792
"23","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,288,13770,8,1,230.360786135062
"24","23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,152,13771,8,1,158.61158953157
"25","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0,63,13772,8,1,98.2250406760949
"26","1",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1045,42,13773,8,1,53.1521772556819
"27","2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,11,13774,8,1,37.8619428559738
"28","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,6,13775,8,1,17.5249400100091
"29","4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,9,13776,8,1,8.80889968378209
"30","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.5909,0.89,0.1343,41,13777,8,1,28.9671072950034
"31","6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0,183,13778,8,1,114.195452989791
"32","7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0,473,13779,8,1,317.655629624725
"33","8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,739,13780,8,1,509.243465891664
"34","9",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1045,343,13781,8,1,308.635641720893
"35","10",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0,181,13782,8,1,266.252902861514
"36","11",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1045,226,13783,8,1,297.614109643862
"37","12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.44,0.1343,286,13784,8,1,339.053939175508
"38","13",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.44,0.2239,310,13785,8,1,334.869360191761
"39","14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.1343,225,13786,8,1,330.50246143363
"40","15",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.62,0.4627,270,13787,8,1,341.782225774882
"41","16",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.194,406,13788,8,1,450.118846825357
"42","17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.2537,865,13789,8,1,684.127167226805
"43","18",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7727,0.59,0.2239,767,13790,8,1,655.945890548097
"44","19",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7879,0.63,0.1642,607,13791,8,1,524.447647039594
"45","20",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7576,0.66,0,427,13792,8,1,400.953010935487
"46","21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2239,342,13793,8,1,306.018720278367
"47","22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.194,262,13794,8,1,222.752908860756
"48","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.2537,177,13795,8,1,158.087844812479
"49","0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.194,71,13796,8,1,97.8815466264013
"50","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.194,43,13797,8,1,55.0280058113188
"51","2",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.2239,14,13798,8,1,38.911540330476
"52","3",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.2239,6,13799,8,1,18.0160497269345
"53","4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.2537,12,13800,8,1,8.81622550798928
"54","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,37,13801,8,1,31.2561294813476
"55","6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.2239,163,13802,8,1,114.279263032235
"56","7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1045,421,13803,8,1,329.883024082187
"57","8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,668,13804,8,1,508.732820684498
"58","9",FALSE,TRUE,"Misty",0.74,0.697,0.66,0.1045,396,13805,8,1,306.2623826048
"59","10",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.194,249,13806,8,1,261.318162562503
"60","11",FALSE,TRUE,"Misty",0.84,0.7879,0.49,0.2836,263,13807,8,1,291.257357454104
"61","12",FALSE,TRUE,"Misty",0.86,0.8182,0.5,0.2985,338,13808,8,1,340.31473435333
"62","13",FALSE,TRUE,"Misty",0.86,0.803,0.47,0.2836,345,13809,8,1,334.140375807783
"63","14",FALSE,TRUE,"Misty",0.86,0.7879,0.44,0.2537,331,13810,8,1,319.830603582556
"64","15",FALSE,TRUE,"Clear to partly cloudy",0.88,0.8182,0.42,0.2537,380,13811,8,1,334.757891420529
"65","16",FALSE,TRUE,"Misty",0.86,0.7879,0.41,0.2239,492,13812,8,1,431.95541399616
"66","17",FALSE,TRUE,"Misty",0.84,0.803,0.53,0.2836,741,13813,8,1,669.78794290918
"67","18",FALSE,TRUE,"Misty",0.82,0.803,0.59,0.2537,671,13814,8,1,647.022379126693
"68","19",FALSE,TRUE,"Misty",0.8,0.7879,0.63,0.2239,469,13815,8,1,518.937824162366
"69","20",FALSE,TRUE,"Misty",0.78,0.7576,0.66,0.2239,389,13816,8,1,396.954133061787
"70","21",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0.194,278,13817,8,1,302.714814457124
"71","22",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.7,0.2537,202,13818,8,1,222.120677839449
"72","23",FALSE,TRUE,"Clear to partly cloudy",0.74,0.7121,0.79,0.1343,196,13819,8,1,147.282366295567
"73","0",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.79,0.1642,161,13820,8,1,81.1626009745108
"74","1",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.194,122,13821,8,1,46.7114721285279
"75","2",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1343,84,13822,8,1,34.1763793151471
"76","3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1343,30,13823,8,1,15.8236693792876
"77","4",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.194,13,13824,8,1,8.00790296706649
"78","5",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,17,13825,8,1,27.4413749211074
"79","6",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,49,13826,8,1,100.312059149944
"80","7",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.77,0.1642,67,13827,8,1,286.185816315739
"81","8",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7273,0.72,0.194,181,13828,8,1,458.680960516847
"82","9",FALSE,FALSE,"Clear to partly cloudy",0.78,0.7576,0.65,0.2239,278,13829,8,1,275.945257242295
"83","10",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.57,0.194,396,13830,8,1,225.705773403482
"84","11",FALSE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.2537,470,13831,8,1,256.96982852983
"85","12",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.4,0.3582,547,13832,8,1,310.132428940303
"86","13",FALSE,FALSE,"Clear to partly cloudy",0.88,0.8182,0.42,0.2985,527,13833,8,1,301.605638954795
"87","14",FALSE,FALSE,"Clear to partly cloudy",0.88,0.803,0.4,0.3881,472,13834,8,1,286.58993540873
"88","15",FALSE,FALSE,"Clear to partly cloudy",0.88,0.8182,0.42,0.4179,489,13835,8,1,298.016178628794
"89","16",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.39,0.2985,450,13836,8,1,368.53634918066
"90","17",FALSE,FALSE,"Clear to partly cloudy",0.88,0.7879,0.37,0.2985,492,13837,8,1,578.280710789087
"91","18",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.3284,490,13838,8,1,567.162700977731
"92","19",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.3582,397,13839,8,1,460.614523015344
"93","20",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.2985,312,13840,8,1,359.179171911386
"94","21",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.2537,289,13841,8,1,276.504219302795
"95","22",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2836,269,13842,8,1,203.662305343981
"96","23",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.2985,222,13843,8,1,139.704201560914
"97","0",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.2836,153,13844,8,1,84.2153293928147
"98","1",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.2537,87,13845,8,1,47.1448316635505
"99","2",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.7,0.2985,73,13846,8,1,34.505259199844
"100","3",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.2537,41,13847,8,1,16.5422026241323
"101","4",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.2537,14,13848,8,1,8.31492737673017
"102","5",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.2537,19,13849,8,1,29.4875255203558
"103","6",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.2537,19,13850,8,1,103.831924862127
"104","7",FALSE,FALSE,"Clear to partly cloudy",0.74,0.7121,0.74,0.2985,68,13851,8,1,283.002854027341
"105","8",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.3284,108,13852,8,1,449.793531978578
"106","9",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.3582,229,13853,8,1,279.073413919435
"107","10",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.4179,364,13854,8,1,237.439961960451
"108","11",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7879,0.56,0.4179,437,13855,8,1,265.370698773762
"109","12",FALSE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.5224,491,13856,8,1,303.680874400075
"110","13",FALSE,FALSE,"Clear to partly cloudy",0.88,0.8182,0.44,0.4627,523,13857,8,1,297.283797291076
"111","14",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8485,0.42,0.4627,526,13858,8,1,290.420815208261
"112","15",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.5224,450,13859,8,1,290.033954974865
"113","16",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.2537,421,13860,8,1,400.578381475287
"114","17",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7576,0.46,0.2537,382,13861,8,1,617.340335540834
"115","18",FALSE,FALSE,"Light Precipitation",0.7,0.6667,0.74,0.1343,229,13862,8,1,468.725390307539
"116","19",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,185,13863,8,1,430.788901668821
"117","20",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1045,193,13864,8,1,335.855966744431
"118","21",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.1045,208,13865,8,1,264.304749735497
"119","22",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.0896,157,13866,8,1,197.645128882097
"120","23",FALSE,FALSE,"Misty",0.72,0.697,0.79,0.1642,87,13867,8,1,134.152296851877
"121","0",FALSE,TRUE,"Misty",0.72,0.697,0.79,0,33,13868,8,1,93.3203576756941
"122","1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0.0896,11,13869,8,1,52.8276335361245
"123","2",FALSE,TRUE,"Misty",0.72,0.697,0.79,0.1343,5,13870,8,1,38.2507934699551
"124","3",FALSE,TRUE,"Light Precipitation",0.72,0.697,0.79,0.0896,5,13871,8,1,14.4391888602966
"125","4",FALSE,TRUE,"Misty",0.72,0.697,0.74,0.1343,11,13872,8,1,9.24147779640971
"126","5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.194,25,13873,8,1,32.014200966704
"127","6",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.2239,141,13874,8,1,115.787245763122
"128","7",FALSE,TRUE,"Light Precipitation",0.72,0.6818,0.7,0.194,407,13875,8,1,265.095834581858
"129","8",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0,605,13876,8,1,486.597231674731
"130","9",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.79,0.1642,276,13877,8,1,242.55763650575
"131","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.2239,213,13878,8,1,255.671294124403
"132","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1343,260,13879,8,1,296.823129846981
"133","12",FALSE,TRUE,"Misty",0.78,0.7273,0.55,0.0896,285,13880,8,1,352.761542366545
"134","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2239,289,13881,8,1,357.146992323432
"135","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0,287,13882,8,1,340.598427075026
"136","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1343,274,13883,8,1,348.650471524794
"137","16",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.41,0.1045,451,13884,8,1,437.784247250618
"138","17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.41,0,858,13885,8,1,697.687751693099
"139","18",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.41,0.1343,843,13886,8,1,660.979476858969
"140","19",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.194,640,13887,8,1,525.515805514877
"141","20",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1642,457,13888,8,1,402.389363638525
"142","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.194,317,13889,8,1,297.866068464029
"143","22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.0896,207,13890,8,1,222.676721410757
"144","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.194,113,13891,8,1,158.231023849903
"145","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.194,47,13892,8,1,91.1987493107914
"146","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1343,18,13893,8,1,51.0492555934916
"147","2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1343,13,13894,8,1,37.3574192128802
"148","3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,6,13895,8,1,17.2888816040753
"149","4",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.83,0.1343,9,13896,8,1,8.78604512264075
"150","5",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1045,36,13897,8,1,32.0048137712944
"151","6",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.194,179,13898,8,1,115.775902331083
"152","7",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1343,502,13899,8,1,326.385309779295
"153","8",FALSE,TRUE,"Misty",0.7,0.6515,0.7,0.1642,705,13900,8,1,504.870371927352
"154","9",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1343,327,13901,8,1,308.775118056237
"155","10",FALSE,TRUE,"Misty",0.74,0.697,0.7,0.1343,250,13902,8,1,252.861491104654
"156","11",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0.0896,214,13903,8,1,293.604264820053
"157","12",FALSE,TRUE,"Misty",0.8,0.7576,0.55,0.1343,283,13904,8,1,351.743024179592
"158","13",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.194,253,13905,8,1,345.445751736234
"159","14",FALSE,TRUE,"Misty",0.82,0.7576,0.46,0,261,13906,8,1,336.954194998509
"160","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0,306,13907,8,1,344.672019899126
"161","16",FALSE,TRUE,"Light Precipitation",0.76,0.7273,0.66,0.2836,445,13908,8,1,357.15529677882
"162","17",FALSE,TRUE,"Misty",0.78,0.7424,0.62,0.1343,868,13909,8,1,671.892057068409
"163","18",FALSE,TRUE,"Misty",0.76,0.7121,0.62,0.1642,814,13910,8,1,638.259322920194
"164","19",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0.1045,610,13911,8,1,510.306726408306
"165","20",FALSE,TRUE,"Misty",0.74,0.697,0.7,0.1343,448,13912,8,1,387.478634527834
"166","21",FALSE,TRUE,"Misty",0.72,0.697,0.74,0,317,13913,8,1,304.97471753789
"167","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,224,13914,8,1,230.614530135583
"168","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0,138,13915,8,1,152.321379831014
"169","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,58,13916,8,1,91.1407949099186
"170","1",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0,23,13917,8,1,52.8121261267678
"171","2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,6,13918,8,1,37.3409834010414
"172","3",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,7,13919,8,1,17.2888816040753
"173","4",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0,7,13920,8,1,8.6902450797608
"174","5",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.1642,43,13921,8,1,29.4739562237075
"175","6",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.1642,173,13922,8,1,111.511861365118
"176","7",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.1642,482,13923,8,1,302.875223195446
"177","8",FALSE,TRUE,"Misty",0.74,0.7273,0.72,0.0896,737,13924,8,1,509.817833337851
"178","9",FALSE,TRUE,"Misty",0.76,0.7273,0.66,0,341,13925,8,1,305.228863193929
"179","10",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.1343,214,13926,8,1,261.267049101878
"180","11",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0,239,13927,8,1,295.224494803275
"181","12",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0,280,13928,8,1,348.582293357824
"182","13",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0,313,13929,8,1,345.22623006815
"183","14",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.2537,236,13930,8,1,333.532977760053
"184","15",FALSE,TRUE,"Misty",0.84,0.7576,0.44,0.194,278,13931,8,1,328.179097048652
"185","16",FALSE,TRUE,"Misty",0.8,0.7424,0.49,0.2836,441,13932,8,1,450.549633289125
"186","17",FALSE,TRUE,"Misty",0.8,0.7576,0.55,0.2836,858,13933,8,1,684.787809979287
