"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"246","5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0,41,13249,7,1
"247","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0.1343,185,13250,7,1
"248","7",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1045,497,13251,7,1
"249","8",FALSE,TRUE,"Misty",0.68,0.6364,0.79,0.1642,674,13252,7,1
"250","9",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1343,328,13253,7,1
"251","10",FALSE,TRUE,"Misty",0.72,0.6818,0.62,0.1343,195,13254,7,1
"252","11",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.1343,229,13255,7,1
"253","12",FALSE,TRUE,"Misty",0.78,0.697,0.43,0,292,13256,7,1
"254","13",FALSE,TRUE,"Misty",0.8,0.7121,0.42,0.1642,273,13257,7,1
"255","14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2239,241,13258,7,1
"256","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2537,276,13259,7,1
"257","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.38,0.194,411,13260,7,1
"258","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.31,0.2239,830,13261,7,1
"259","18",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.38,0.2537,814,13262,7,1
"260","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.2239,633,13263,7,1
"261","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1642,483,13264,7,1
"262","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.2239,391,13265,7,1
"263","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.2537,244,13266,7,1
"264","23",FALSE,TRUE,"Misty",0.7,0.6515,0.58,0.2537,152,13267,7,1
"265","0",FALSE,TRUE,"Misty",0.68,0.6364,0.61,0,56,13268,7,1
"266","1",FALSE,TRUE,"Misty",0.66,0.6212,0.61,0,21,13269,7,1
"267","2",FALSE,TRUE,"Misty",0.66,0.6212,0.65,0.0896,9,13270,7,1
"268","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1045,10,13271,7,1
"269","4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0.1045,5,13272,7,1
"270","5",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.73,0.1045,44,13273,7,1
"271","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0.0896,178,13274,7,1
"272","7",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0.1343,512,13275,7,1
"273","8",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.65,0.1343,702,13276,7,1
"274","9",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.1045,327,13277,7,1
"275","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.1642,214,13278,7,1
"276","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.45,0.1045,215,13279,7,1
"277","12",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.35,0.1343,292,13280,7,1
"278","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.33,0.2239,277,13281,7,1
"279","14",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.33,0.2239,209,13282,7,1
"280","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0.194,271,13283,7,1
"281","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0.194,439,13284,7,1
"282","17",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.43,0.2239,795,13285,7,1
"283","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.45,0.1343,825,13286,7,1
"284","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.2239,629,13287,7,1
"285","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.2239,514,13288,7,1
"286","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.48,0.2239,373,13289,7,1
"287","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.51,0.1642,318,13290,7,1
"288","23",FALSE,TRUE,"Misty",0.7,0.6515,0.51,0.2239,211,13291,7,1
"289","0",FALSE,TRUE,"Misty",0.7,0.6515,0.54,0.1642,95,13292,7,1
"290","1",FALSE,TRUE,"Misty",0.68,0.6364,0.54,0.1045,59,13293,7,1
"291","2",FALSE,TRUE,"Misty",0.66,0.6212,0.61,0.0896,17,13294,7,1
"292","3",FALSE,TRUE,"Misty",0.68,0.6364,0.61,0,9,13295,7,1
"293","4",FALSE,TRUE,"Misty",0.66,0.6212,0.61,0,11,13296,7,1
"294","5",FALSE,TRUE,"Misty",0.66,0.6364,0.56,0.0896,34,13297,7,1
"295","6",FALSE,TRUE,"Misty",0.7,0.6515,0.54,0,127,13298,7,1
"296","7",FALSE,TRUE,"Misty",0.7,0.6515,0.54,0,380,13299,7,1
"297","8",FALSE,TRUE,"Misty",0.7,0.6515,0.54,0,713,13300,7,1
"298","9",FALSE,TRUE,"Misty",0.72,0.6667,0.51,0,414,13301,7,1
"299","10",FALSE,TRUE,"Misty",0.74,0.6667,0.48,0,268,13302,7,1
"300","11",FALSE,TRUE,"Misty",0.76,0.6818,0.45,0.1343,288,13303,7,1
"301","12",FALSE,TRUE,"Misty",0.76,0.6818,0.4,0.1045,379,13304,7,1
"302","13",FALSE,TRUE,"Misty",0.8,0.7121,0.38,0.1343,374,13305,7,1
"303","14",FALSE,TRUE,"Misty",0.8,0.7121,0.38,0,369,13306,7,1
"304","15",FALSE,TRUE,"Misty",0.8,0.7121,0.36,0.1045,353,13307,7,1
"305","16",FALSE,TRUE,"Misty",0.8,0.7121,0.36,0.2239,492,13308,7,1
"306","17",FALSE,TRUE,"Misty",0.8,0.7121,0.36,0.1642,835,13309,7,1
"307","18",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.46,0.194,631,13310,7,1
"308","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1642,488,13311,7,1
"309","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.1343,389,13312,7,1
"310","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0,299,13313,7,1
"311","22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.45,0,263,13314,7,1
"312","23",FALSE,TRUE,"Misty",0.72,0.6515,0.45,0.1343,212,13315,7,1
"313","0",FALSE,FALSE,"Misty",0.72,0.6667,0.48,0.0896,191,13316,7,1
"314","1",FALSE,FALSE,"Misty",0.7,0.6515,0.51,0.1045,118,13317,7,1
"315","2",FALSE,FALSE,"Misty",0.7,0.6515,0.54,0.1045,101,13318,7,1
"316","3",FALSE,FALSE,"Misty",0.7,0.6515,0.54,0.1045,40,13319,7,1
"317","4",FALSE,FALSE,"Light Precipitation",0.66,0.6212,0.61,0.1045,9,13320,7,1
"318","5",FALSE,FALSE,"Misty",0.64,0.6061,0.73,0.1045,5,13321,7,1
"319","6",FALSE,FALSE,"Misty",0.64,0.5909,0.78,0.0896,35,13322,7,1
"320","7",FALSE,FALSE,"Clear to partly cloudy",0.64,0.5909,0.78,0.2836,48,13323,7,1
"321","8",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.78,0.2836,151,13324,7,1
"322","9",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.74,0.194,282,13325,7,1
"323","10",FALSE,FALSE,"Misty",0.72,0.6818,0.7,0.0896,401,13326,7,1
"324","11",FALSE,FALSE,"Misty",0.72,0.6818,0.7,0.1045,439,13327,7,1
"325","12",FALSE,FALSE,"Misty",0.74,0.697,0.66,0.0896,499,13328,7,1
"326","13",FALSE,FALSE,"Misty",0.76,0.7121,0.62,0.0896,591,13329,7,1
"327","14",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7576,0.55,0.1045,632,13330,7,1
"328","15",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7576,0.55,0.1642,560,13331,7,1
"329","16",FALSE,FALSE,"Misty",0.72,0.697,0.79,0.3582,566,13332,7,1
"330","17",FALSE,FALSE,"Light Precipitation",0.7,0.6667,0.79,0.1642,458,13333,7,1
"331","18",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.1343,351,13334,7,1
"332","19",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.0896,431,13335,7,1
"333","20",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.0896,356,13336,7,1
"334","21",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,269,13337,7,1
"335","22",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.194,225,13338,7,1
"336","23",FALSE,FALSE,"Misty",0.68,0.6364,0.83,0.0896,211,13339,7,1
"337","0",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.89,0.1642,187,13340,7,1
"338","1",FALSE,FALSE,"Misty",0.68,0.6364,0.89,0.1343,168,13341,7,1
"339","2",FALSE,FALSE,"Misty",0.68,0.6364,0.89,0.1642,115,13342,7,1
"340","3",FALSE,FALSE,"Misty",0.68,0.6364,0.89,0.1642,57,13343,7,1
"341","4",FALSE,FALSE,"Misty",0.68,0.6364,0.89,0.1045,19,13344,7,1
"342","5",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.89,0.1343,9,13345,7,1
"343","6",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.83,0.1343,15,13346,7,1
"344","7",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.0896,47,13347,7,1
"345","8",FALSE,FALSE,"Misty",0.7,0.6667,0.84,0.1343,133,13348,7,1
"346","9",FALSE,FALSE,"Misty",0.72,0.697,0.79,0,221,13349,7,1
"347","10",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1343,382,13350,7,1
"348","11",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1642,451,13351,7,1
"349","12",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7727,0.47,0.1045,489,13352,7,1
"350","13",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.1045,480,13353,7,1
"351","14",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.2537,476,13354,7,1
"352","15",FALSE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.1343,489,13355,7,1
"353","16",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2239,495,13356,7,1
"354","17",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.4925,436,13357,7,1
"355","18",FALSE,FALSE,"Light Precipitation",0.72,0.697,0.79,0.3582,312,13358,7,1
"356","19",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.2239,312,13359,7,1
"357","20",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.2537,294,13360,7,1
"358","21",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.0896,223,13361,7,1
"359","22",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,130,13362,7,1
"360","23",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.1343,91,13363,7,1
"361","0",FALSE,TRUE,"Light Precipitation",0.72,0.697,0.79,0.1045,43,13364,7,1
"362","1",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.194,11,13365,7,1
"363","2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1045,15,13366,7,1
"364","3",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.0896,6,13367,7,1
"365","4",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1045,12,13368,7,1
"366","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.78,0.1045,50,13369,7,1
"367","6",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1343,140,13370,7,1
"368","7",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.0896,483,13371,7,1
"369","8",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1045,667,13372,7,1
"370","9",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1642,348,13373,7,1
"371","10",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7727,0.59,0,186,13374,7,1
"372","11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.803,0.53,0.2239,182,13375,7,1
"373","12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.1343,237,13376,7,1
"374","13",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.2836,239,13377,7,1
"375","14",FALSE,TRUE,"Clear to partly cloudy",0.88,0.8182,0.42,0.1045,212,13378,7,1
"376","15",FALSE,TRUE,"Clear to partly cloudy",0.86,0.803,0.47,0.2537,237,13379,7,1
"377","16",FALSE,TRUE,"Light Precipitation",0.76,0.7273,0.66,0.5821,386,13380,7,1
"378","17",FALSE,TRUE,"Light Precipitation",0.76,0.7273,0.66,0.5821,755,13381,7,1
"379","18",FALSE,TRUE,"Clear to partly cloudy",0.84,0.803,0.53,0,794,13382,7,1
"380","19",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7879,0.63,0.1343,595,13383,7,1
"381","20",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7727,0.59,0.1343,454,13384,7,1
"382","21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1343,328,13385,7,1
"383","22",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.0896,284,13386,7,1
"384","23",FALSE,TRUE,"Clear to partly cloudy",0.74,0.7121,0.74,0.0896,166,13387,7,1
"385","0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1045,53,13388,7,1
"386","1",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0,25,13389,7,1
"387","2",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.0896,7,13390,7,1
"388","3",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0,3,13391,7,1
"389","4",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.62,0,7,13392,7,1
"390","5",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.74,0.0896,38,13393,7,1
"391","6",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1045,213,13394,7,1
"392","7",FALSE,TRUE,"Misty",0.74,0.697,0.7,0,526,13395,7,1
"393","8",FALSE,TRUE,"Misty",0.8,0.7576,0.55,0,661,13396,7,1
"394","9",FALSE,TRUE,"Misty",0.82,0.7727,0.49,0.2239,320,13397,7,1
"395","10",FALSE,TRUE,"Misty",0.84,0.7879,0.49,0.194,159,13398,7,1
"396","11",FALSE,TRUE,"Misty",0.86,0.803,0.47,0,206,13399,7,1
"397","12",FALSE,TRUE,"Misty",0.9,0.8182,0.35,0,254,13400,7,1
"398","13",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.31,0.194,221,13401,7,1
"399","14",FALSE,TRUE,"Clear to partly cloudy",0.94,0.8333,0.29,0.2537,214,13402,7,1
"400","15",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.31,0.1642,244,13403,7,1
"401","16",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0.1642,381,13404,7,1
"402","17",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0,770,13405,7,1
"403","18",FALSE,TRUE,"Clear to partly cloudy",0.9,0.803,0.33,0.194,772,13406,7,1
"404","19",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7879,0.35,0.2537,547,13407,7,1
"405","20",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.34,0.1642,427,13408,7,1
"406","21",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1343,333,13409,7,1
"407","22",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2239,244,13410,7,1
"408","23",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.194,161,13411,7,1
"409","0",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1642,53,13412,7,1
"410","1",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1045,16,13413,7,1
"411","2",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1343,8,13414,7,1
"412","3",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1343,4,13415,7,1
"413","4",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,6,13416,7,1
"414","5",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1642,46,13417,7,1
"415","6",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1642,162,13418,7,1
"416","7",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,495,13419,7,1
"417","8",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1045,679,13420,7,1
"418","9",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7879,0.56,0,297,13421,7,1
"419","10",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8485,0.42,0.194,138,13422,7,1
"420","11",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8485,0.42,0,183,13423,7,1
"421","12",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8636,0.37,0.1343,202,13424,7,1
"422","13",FALSE,TRUE,"Clear to partly cloudy",0.94,0.8485,0.33,0,203,13425,7,1
"423","14",FALSE,TRUE,"Clear to partly cloudy",0.94,0.8788,0.38,0.3284,170,13426,7,1
"424","15",FALSE,TRUE,"Light Precipitation",0.92,0.8485,0.35,0.3582,194,13427,7,1
"425","16",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,224,13428,7,1
"426","17",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.2537,370,13429,7,1
"427","18",FALSE,TRUE,"Misty",0.76,0.7121,0.62,0.1343,643,13430,7,1
"428","19",FALSE,TRUE,"Misty",0.76,0.7121,0.62,0.1045,516,13431,7,1
"429","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.0896,366,13432,7,1
"430","21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0,319,13433,7,1
"431","22",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.0896,288,13434,7,1
"432","23",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.0896,131,13435,7,1
"433","0",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.0896,66,13436,7,1
"434","1",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.0896,25,13437,7,1
"435","2",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.194,7,13438,7,1
"436","3",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,5,13439,7,1
"437","4",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,8,13440,7,1
"438","5",FALSE,TRUE,"Misty",0.72,0.6818,0.7,0.1045,40,13441,7,1
"439","6",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1343,152,13442,7,1
"440","7",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.58,0.2836,473,13443,7,1
"441","8",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.2537,657,13444,7,1
"442","9",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.2836,318,13445,7,1
"443","10",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.194,198,13446,7,1
"444","11",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.1045,216,13447,7,1
"445","12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.2836,274,13448,7,1
"446","13",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.1343,254,13449,7,1
"447","14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.44,0.0896,197,13450,7,1
"448","15",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.0896,292,13451,7,1
"449","16",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.0896,358,13452,7,1
"450","17",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0,771,13453,7,1
"451","18",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.194,777,13454,7,1
"452","19",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.44,0.2537,533,13455,7,1
"453","20",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.49,0.1642,505,13456,7,1
"454","21",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.2537,332,13457,7,1
"455","22",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.2537,68,13458,7,1
"456","23",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.2239,65,13459,7,1
"457","0",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.0896,34,13460,7,1
"458","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.5909,0.89,0.1343,11,13461,7,1
"459","2",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.0896,19,13462,7,1
"460","3",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.1045,36,13463,7,1
"461","4",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.1642,9,13464,7,1
"462","5",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.1343,42,13465,7,1
"463","6",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.1642,126,13466,7,1
"464","7",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.194,360,13467,7,1
"465","8",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.1642,691,13468,7,1
"466","9",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.1343,373,13469,7,1
"467","10",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.1642,233,13470,7,1
"468","11",FALSE,TRUE,"Light Precipitation",0.72,0.697,0.74,0.194,212,13471,7,1
"469","12",FALSE,TRUE,"Light Precipitation",0.68,0.6364,0.83,0.1642,274,13472,7,1
"470","13",FALSE,TRUE,"Light Precipitation",0.68,0.6364,0.83,0.1045,156,13473,7,1
"471","14",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.84,0.1642,229,13474,7,1
"472","15",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.2985,216,13475,7,1
"473","16",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.3284,436,13476,7,1
"474","17",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.4179,715,13477,7,1
"475","18",FALSE,TRUE,"Misty",0.66,0.6061,0.78,0.3284,622,13478,7,1
"476","19",FALSE,TRUE,"Misty",0.64,0.5758,0.83,0.2836,402,13479,7,1
"477","20",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.83,0.3881,251,13480,7,1
"478","21",FALSE,TRUE,"Light Precipitation",0.62,0.5758,0.83,0.3284,122,13481,7,1
"479","22",FALSE,TRUE,"Misty",0.62,0.5758,0.83,0.194,135,13482,7,1
"480","23",FALSE,TRUE,"Misty",0.62,0.5758,0.83,0.2836,166,13483,7,1
"481","0",FALSE,FALSE,"Light Precipitation",0.62,0.5758,0.83,0.2836,103,13484,7,1
"482","1",FALSE,FALSE,"Misty",0.62,0.5758,0.83,0.2537,72,13485,7,1
"483","2",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.2836,60,13486,7,1
"484","3",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.2537,25,13487,7,1
"485","4",FALSE,FALSE,"Light Precipitation",0.58,0.5455,0.88,0.2836,16,13488,7,1
"486","5",FALSE,FALSE,"Light Precipitation",0.58,0.5455,0.88,0.2537,17,13489,7,1
"487","6",FALSE,FALSE,"Light Precipitation",0.58,0.5455,0.88,0.2537,15,13490,7,1
"488","7",FALSE,FALSE,"Misty",0.58,0.5455,0.88,0.2537,37,13491,7,1
"489","8",FALSE,FALSE,"Misty",0.58,0.5455,0.83,0.2537,112,13492,7,1
"490","9",FALSE,FALSE,"Misty",0.58,0.5455,0.83,0.194,207,13493,7,1
"491","10",FALSE,FALSE,"Light Precipitation",0.58,0.5455,0.88,0.2537,268,13494,7,1
"492","11",FALSE,FALSE,"Misty",0.6,0.5606,0.83,0.2537,305,13495,7,1
"493","12",FALSE,FALSE,"Light Precipitation",0.6,0.5606,0.83,0.2239,457,13496,7,1
"494","13",FALSE,FALSE,"Light Precipitation",0.6,0.5606,0.83,0.1642,354,13497,7,1
"495","14",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.2537,343,13498,7,1
"496","15",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.2537,380,13499,7,1
"497","16",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.194,326,13500,7,1
"498","17",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.1642,241,13501,7,1
"499","18",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.194,177,13502,7,1
